Time,UE,CurXPos,CurYPos,CurZPos,CurXVel,CurYVel,CurZVel,CalcClosestENB,CalcClosestEnbDist,enbX,enbY,enbZ
0,0,99.2154,15.4972,27.8631,-6.59438,-3.85611,0.0376894,0,104.212,0,0,0
0.01,0,99.1494,15.4586,27.8635,-6.59438,-3.85611,0.0376894,0,104.144,0,0,0
0.02,0,99.0835,15.42,27.8639,-6.59438,-3.85611,0.0376894,0,104.076,0,0,0
0.03,0,99.0175,15.3815,27.8643,-6.59438,-3.85611,0.0376894,0,104.007,0,0,0
0.04,0,98.9516,15.3429,27.8647,-6.59438,-3.85611,0.0376894,0,103.939,0,0,0
0.05,0,98.8857,15.3044,27.865,-6.59438,-3.85611,0.0376894,0,103.87,0,0,0
0.06,0,98.8197,15.2658,27.8654,-6.59438,-3.85611,0.0376894,0,103.802,0,0,0
0.07,0,98.7538,15.2272,27.8658,-6.59438,-3.85611,0.0376894,0,103.734,0,0,0
0.08,0,98.6878,15.1887,27.8662,-6.59438,-3.85611,0.0376894,0,103.665,0,0,0
0.09,0,98.6219,15.1501,27.8665,-6.59438,-3.85611,0.0376894,0,103.597,0,0,0
0.1,0,98.5559,15.1116,27.8669,-6.59438,-3.85611,0.0376894,0,103.529,0,0,0
0.11,0,98.49,15.073,27.8673,-6.59438,-3.85611,0.0376894,0,103.46,0,0,0
0.12,0,98.4241,15.0344,27.8677,-6.59438,-3.85611,0.0376894,0,103.392,0,0,0
0.13,0,98.3581,14.9959,27.868,-6.59438,-3.85611,0.0376894,0,103.324,0,0,0
0.14,0,98.2922,14.9573,27.8684,-6.59438,-3.85611,0.0376894,0,103.256,0,0,0
0.15,0,98.2262,14.9188,27.8688,-6.59438,-3.85611,0.0376894,0,103.187,0,0,0
0.16,0,98.1603,14.8802,27.8692,-6.59438,-3.85611,0.0376894,0,103.119,0,0,0
0.17,0,98.0943,14.8416,27.8696,-6.59438,-3.85611,0.0376894,0,103.051,0,0,0
0.18,0,98.0284,14.8031,27.8699,-6.59438,-3.85611,0.0376894,0,102.983,0,0,0
0.19,0,97.9624,14.7645,27.8703,-6.59438,-3.85611,0.0376894,0,102.914,0,0,0
0.2,0,97.8965,14.7259,27.8707,-6.59438,-3.85611,0.0376894,0,102.846,0,0,0
0.21,0,97.8306,14.6874,27.8711,-6.59438,-3.85611,0.0376894,0,102.778,0,0,0
0.22,0,97.7646,14.6488,27.8714,-6.59438,-3.85611,0.0376894,0,102.71,0,0,0
0.23,0,97.6987,14.6103,27.8718,-6.59438,-3.85611,0.0376894,0,102.642,0,0,0
0.24,0,97.6327,14.5717,27.8722,-6.59438,-3.85611,0.0376894,0,102.574,0,0,0
0.25,0,97.5668,14.5331,27.8726,-6.59438,-3.85611,0.0376894,0,102.505,0,0,0
0.26,0,97.5008,14.4946,27.8729,-6.59438,-3.85611,0.0376894,0,102.437,0,0,0
0.27,0,97.4349,14.456,27.8733,-6.59438,-3.85611,0.0376894,0,102.369,0,0,0
0.28,0,97.369,14.4175,27.8737,-6.59438,-3.85611,0.0376894,0,102.301,0,0,0
0.29,0,97.303,14.3789,27.8741,-6.59438,-3.85611,0.0376894,0,102.233,0,0,0
0.3,0,97.2371,14.3403,27.8745,-6.59438,-3.85611,0.0376894,0,102.165,0,0,0
0.31,0,97.1711,14.3018,27.8748,-6.59438,-3.85611,0.0376894,0,102.097,0,0,0
0.32,0,97.1052,14.2632,27.8752,-6.59438,-3.85611,0.0376894,0,102.029,0,0,0
0.33,0,97.0392,14.2247,27.8756,-6.59438,-3.85611,0.0376894,0,101.961,0,0,0
0.34,0,96.9733,14.1861,27.876,-6.59438,-3.85611,0.0376894,0,101.893,0,0,0
0.35,0,96.9073,14.1475,27.8763,-6.59438,-3.85611,0.0376894,0,101.825,0,0,0
0.36,0,96.8414,14.109,27.8767,-6.59438,-3.85611,0.0376894,0,101.757,0,0,0
0.37,0,96.7755,14.0704,27.8771,-6.59438,-3.85611,0.0376894,0,101.689,0,0,0
0.38,0,96.7095,14.0318,27.8775,-6.59438,-3.85611,0.0376894,0,101.621,0,0,0
0.39,0,96.6436,13.9933,27.8778,-6.59438,-3.85611,0.0376894,0,101.553,0,0,0
0.4,0,96.5776,13.9547,27.8782,-6.59438,-3.85611,0.0376894,0,101.485,0,0,0
0.41,0,96.5117,13.9162,27.8786,-6.59438,-3.85611,0.0376894,0,101.417,0,0,0
0.42,0,96.4457,13.8776,27.879,-6.59438,-3.85611,0.0376894,0,101.349,0,0,0
0.43,0,96.3798,13.839,27.8794,-6.59438,-3.85611,0.0376894,0,101.281,0,0,0
0.44,0,96.3139,13.8005,27.8797,-6.59438,-3.85611,0.0376894,0,101.213,0,0,0
0.45,0,96.2479,13.7619,27.8801,-6.59438,-3.85611,0.0376894,0,101.145,0,0,0
0.46,0,96.182,13.7234,27.8805,-6.59438,-3.85611,0.0376894,0,101.077,0,0,0
0.47,0,96.116,13.6848,27.8809,-6.59438,-3.85611,0.0376894,0,101.009,0,0,0
0.48,0,96.0501,13.6462,27.8812,-6.59438,-3.85611,0.0376894,0,100.942,0,0,0
0.49,0,95.9841,13.6077,27.8816,-6.59438,-3.85611,0.0376894,0,100.874,0,0,0
0.5,0,95.9182,13.5691,27.882,-6.59438,-3.85611,0.0376894,0,100.806,0,0,0
0.51,0,95.8409,13.5632,27.8824,-7.73034,-0.594284,0.0388614,0,100.732,0,0,0
0.52,0,95.7636,13.5572,27.8828,-7.73034,-0.594284,0.0388614,0,100.657,0,0,0
0.53,0,95.6863,13.5513,27.8832,-7.73034,-0.594284,0.0388614,0,100.583,0,0,0
0.54,0,95.609,13.5453,27.8835,-7.73034,-0.594284,0.0388614,0,100.509,0,0,0
0.55,0,95.5317,13.5394,27.8839,-7.73034,-0.594284,0.0388614,0,100.435,0,0,0
0.56,0,95.4544,13.5335,27.8843,-7.73034,-0.594284,0.0388614,0,100.36,0,0,0
0.57,0,95.3771,13.5275,27.8847,-7.73034,-0.594284,0.0388614,0,100.286,0,0,0
0.58,0,95.2998,13.5216,27.8851,-7.73034,-0.594284,0.0388614,0,100.212,0,0,0
0.59,0,95.2225,13.5156,27.8855,-7.73034,-0.594284,0.0388614,0,100.138,0,0,0
0.6,0,95.1452,13.5097,27.8859,-7.73034,-0.594284,0.0388614,0,100.064,0,0,0
0.61,0,95.0679,13.5037,27.8863,-7.73034,-0.594284,0.0388614,0,99.9895,0,0,0
0.62,0,94.9905,13.4978,27.8867,-7.73034,-0.594284,0.0388614,0,99.9153,0,0,0
0.63,0,94.9132,13.4919,27.887,-7.73034,-0.594284,0.0388614,0,99.8411,0,0,0
0.64,0,94.8359,13.4859,27.8874,-7.73034,-0.594284,0.0388614,0,99.7669,0,0,0
0.65,0,94.7586,13.48,27.8878,-7.73034,-0.594284,0.0388614,0,99.6927,0,0,0
0.66,0,94.6813,13.474,27.8882,-7.73034,-0.594284,0.0388614,0,99.6186,0,0,0
0.67,0,94.604,13.4681,27.8886,-7.73034,-0.594284,0.0388614,0,99.5444,0,0,0
0.68,0,94.5267,13.4621,27.889,-7.73034,-0.594284,0.0388614,0,99.4702,0,0,0
0.69,0,94.4494,13.4562,27.8894,-7.73034,-0.594284,0.0388614,0,99.3961,0,0,0
0.7,0,94.3721,13.4503,27.8898,-7.73034,-0.594284,0.0388614,0,99.3219,0,0,0
0.71,0,94.2948,13.4443,27.8901,-7.73034,-0.594284,0.0388614,0,99.2478,0,0,0
0.72,0,94.2175,13.4384,27.8905,-7.73034,-0.594284,0.0388614,0,99.1736,0,0,0
0.73,0,94.1402,13.4324,27.8909,-7.73034,-0.594284,0.0388614,0,99.0995,0,0,0
0.74,0,94.0629,13.4265,27.8913,-7.73034,-0.594284,0.0388614,0,99.0254,0,0,0
0.75,0,93.9856,13.4205,27.8917,-7.73034,-0.594284,0.0388614,0,98.9513,0,0,0
0.76,0,93.9083,13.4146,27.8921,-7.73034,-0.594284,0.0388614,0,98.8771,0,0,0
0.77,0,93.831,13.4087,27.8925,-7.73034,-0.594284,0.0388614,0,98.803,0,0,0
0.78,0,93.7537,13.4027,27.8929,-7.73034,-0.594284,0.0388614,0,98.7289,0,0,0
0.79,0,93.6764,13.3968,27.8933,-7.73034,-0.594284,0.0388614,0,98.6548,0,0,0
0.8,0,93.5991,13.3908,27.8936,-7.73034,-0.594284,0.0388614,0,98.5807,0,0,0
0.81,0,93.5218,13.3849,27.894,-7.73034,-0.594284,0.0388614,0,98.5066,0,0,0
0.82,0,93.4445,13.3789,27.8944,-7.73034,-0.594284,0.0388614,0,98.4325,0,0,0
0.83,0,93.3672,13.373,27.8948,-7.73034,-0.594284,0.0388614,0,98.3585,0,0,0
0.84,0,93.2899,13.3671,27.8952,-7.73034,-0.594284,0.0388614,0,98.2844,0,0,0
0.85,0,93.2126,13.3611,27.8956,-7.73034,-0.594284,0.0388614,0,98.2103,0,0,0
0.86,0,93.1353,13.3552,27.896,-7.73034,-0.594284,0.0388614,0,98.1363,0,0,0
0.87,0,93.058,13.3492,27.8964,-7.73034,-0.594284,0.0388614,0,98.0622,0,0,0
0.88,0,92.9807,13.3433,27.8968,-7.73034,-0.594284,0.0388614,0,97.9881,0,0,0
0.89,0,92.9034,13.3373,27.8971,-7.73034,-0.594284,0.0388614,0,97.9141,0,0,0
0.9,0,92.8261,13.3314,27.8975,-7.73034,-0.594284,0.0388614,0,97.84,0,0,0
0.91,0,92.7487,13.3255,27.8979,-7.73034,-0.594284,0.0388614,0,97.766,0,0,0
0.92,0,92.6714,13.3195,27.8983,-7.73034,-0.594284,0.0388614,0,97.692,0,0,0
0.93,0,92.5941,13.3136,27.8987,-7.73034,-0.594284,0.0388614,0,97.6179,0,0,0
0.94,0,92.5168,13.3076,27.8991,-7.73034,-0.594284,0.0388614,0,97.5439,0,0,0
0.95,0,92.4395,13.3017,27.8995,-7.73034,-0.594284,0.0388614,0,97.4699,0,0,0
0.96,0,92.3622,13.2957,27.8999,-7.73034,-0.594284,0.0388614,0,97.3959,0,0,0
0.97,0,92.2849,13.2898,27.9003,-7.73034,-0.594284,0.0388614,0,97.3219,0,0,0
0.98,0,92.2076,13.2839,27.9006,-7.73034,-0.594284,0.0388614,0,97.2479,0,0,0
0.99,0,92.1303,13.2779,27.901,-7.73034,-0.594284,0.0388614,0,97.1739,0,0,0
